A	Coef.DKOvsDFC	Coef.S3KOvsS3FL	Coef.DKOvsS3KO	Coef.DFCvsS3FL	t.DKOvsDFC	t.S3KOvsS3FL	t.DKOvsS3KO	t.DFCvsS3FL	p.value.DKOvsDFC	p.value.S3KOvsS3FL	p.value.DKOvsS3KO	p.value.DFCvsS3FL	F	F.p.value	Res.DKOvsDFC	Res.S3KOvsS3FL	Res.DKOvsS3KO	Res.DFCvsS3FL
710	5.44754229498419	1.88330217859517	0.471920160655738	0.379693017267397	-1.03168900067203	4.29939254922833	1.0773470373551	0.969113643026756	-2.15003370420698	0.0024279782503235	0.311767270774393	0.359993667174112	0.0626952198551261	6.67216349109774	0.0135174111747591	1	0	0	0
711	5.26788908148124	1.93979482861098	0.915271725919405	0.930566817867578	-0.0939562848239941	10.4779870679846	4.94392765999005	5.61984878233727	-0.463294637777935	4.68747307980726e-06	0.00102664737859798	0.000443812064375166	0.655110940635415	50.2383563987306	1.20699510919066e-05	1	1	1	0
712	5.48845806430327	2.32603876346338	1.58757435494272	0.487076696395174	-0.251387712125494	9.02230917713698	6.15793119916011	2.11228792192201	-0.890131520080685	1.47449981902352e-05	0.000237889655557967	0.0665382087763284	0.398567365476027	40.1579811097396	2.87135091808972e-05	1	1	0	0
713	5.20771212105075	2.9867564554708	1.40542268706763	0.655492884576837	-0.925840883826337	9.44272771014508	4.4432895515574	2.31697124411483	-2.67204265825665	1.04293135840603e-05	0.00199292282632817	0.0481584912886963	0.0274780342814155	36.3063018032493	4.22349800830637e-05	1	1	0	0
714	7.47051886918952	2.85144976068717	1.51760841420613	0.671973194403822	-0.661868152077218	11.1927285392355	5.95703253946699	2.94901649755738	-2.37165278483286	2.80676885653806e-06	0.000298946309367309	0.0178087501259531	0.0441666086190332	53.7928625876532	9.24276611946825e-06	1	1	0	0
715	8.08821066116868	3.30776260618459	1.56031497545945	0.81367848868863	-0.933769142036509	9.70699851949979	4.57891842915798	2.66967547153985	-2.50149434225667	8.44497340836101e-06	0.00165910866193883	0.0275806531054319	0.0359652326437602	38.4761175332191	3.38335899881414e-05	1	1	0	0
716	2.32593712079952	0.631277191754557	2.25571799684185	0.693549811886002	2.3179906169733	2.72186938529882	9.72594897719445	3.3433346334512	9.12364194218152	0.0254062130305653	8.31970238044263e-06	0.00971844268913023	1.3547729554855e-05	57.2976065843934	7.21789287958703e-06	1	1	1	1
717	2.94283874543223	8.02750593014308	1.6753534256116	1.34926964081099	-5.00288286372049	14.451502005013	3.01605176003898	2.71572698412286	-8.22170829339756	3.73038092381646e-07	0.0160485876038355	0.0256527364862037	2.96403264091825e-05	75.8431258605017	2.38464877391021e-06	1	1	0	-1
718	2.61991967732187	3.4934952997393	2.17233076370335	1.12686233387011	-0.194302202165838	14.485478564125	9.00738315410424	5.22394449134134	-0.735461230920023	3.66112262661823e-07	1.4931078529952e-05	0.000719723501508392	0.482408033426717	101.262591708907	7.51840343630329e-07	1	1	1	0
719	3.50084432016782	2.79589025571927	2.64253424182368	0.918744581625608	0.76538856773002	6.94460292692415	6.56368789609196	2.55139145025209	1.73547613760645	0.000101914668208871	0.000152253397201768	0.0332380628974931	0.119668829376775	33.5861454120704	5.67831752611821e-05	1	1	0	0
720	3.80611605536825	3.79795941597144	2.88839978819645	0.885921891514416	-0.0236377362605684	6.50258503274197	4.94530435273156	1.6958450197275	-0.0369446009570061	0.000162631643453492	0.00102482803489616	0.127150841885501	0.971406096452686	22.8014469751644	0.000239851145098957	1	1	0	0
721	7.43020987858005	3.70379170235476	2.74363885912732	1.34103648727148	0.380883644044043	8.90039256943265	6.59309833743035	3.60294978236805	0.835534349109103	1.63438121721431e-05	0.000147519820516599	0.00658671271201034	0.426912519119181	44.5678316744434	1.92155765318807e-05	1	1	1	0
722	5.89443291073974	3.62978183920564	3.09625824098501	1.0450147240763	0.511491125855668	9.9459414699255	8.48403694899493	3.20142101815936	1.27941917704984	7.00718911348707e-06	2.34399979081048e-05	0.0120625304026533	0.235500875815495	60.5726874090172	5.80164201133961e-06	1	1	1	0
723	2.29427122644112	4.81417414925356	3.80615450004902	0.65275339959502	-0.355266249609519	5.77402902136968	4.56502940312356	0.875308840356841	-0.388973929473716	0.000369765427620521	0.00169033913227555	0.406127022620146	0.707126725731428	18.1218436121198	0.000547257428801327	1	1	0	0
