A	Coef.DKOvsDFC	Coef.S3KOvsS3FL	Coef.DKOvsS3KO	Coef.DFCvsS3FL	t.DKOvsDFC	t.S3KOvsS3FL	t.DKOvsS3KO	t.DFCvsS3FL	p.value.DKOvsDFC	p.value.S3KOvsS3FL	p.value.DKOvsS3KO	p.value.DFCvsS3FL	F	F.p.value	Res.DKOvsDFC	Res.S3KOvsS3FL	Res.DKOvsS3KO	Res.DFCvsS3FL
1	9.20593743739662	0.138408351571972	-0.0877295572300589	-0.0106674714115087	-0.236805380213539	1.29798241649055	-0.822720749129834	-0.11184665677511	-2.02725068214991	0.22987421738088	0.43411250407588	0.913654860552545	0.076589176541498	1.41173060971342	0.30779248669153	0	0	0	0
3	4.69752748983481	-0.117705460057064	-0.0132051829681838	0.283472871584329	0.387973148673209	-0.585455929142508	-0.0656813427379401	1.57639158961984	1.76160545278066	0.574114798414443	0.949216598999806	0.152950630919061	0.115528485756649	1.93341802950222	0.201570819028719	0	0	0	0
4	16.4705951312191	-0.200377250278827	-0.0299327965784641	0.0190842753463869	0.189528729046749	-2.03681949994268	-0.304264599269609	0.216887644397946	1.758687022121	0.0754536948125924	0.768562232005332	0.833635099546634	0.116045701932092	1.96011922395387	0.197436039163947	0	0	0	0
5	11.0573678387151	-0.11085577990761	-0.313140407161852	-0.0151525141975135	-0.217437141451756	-0.471368640832619	-1.33150087651427	-0.0720347495973104	-0.844005839954504	0.649757214051453	0.219115850857618	0.944313391203125	0.422783180361208	0.780901370438718	0.536574743721279	0	0	0	0
6	10.5620948627185	-0.0206010442874813	0.0580190936697083	-0.029340812799207	0.0492793251579826	-0.221472919823406	0.623738190221081	-0.352661899634998	0.483621416100125	0.830181150183781	0.549880704547144	0.733302627590484	0.641400549483001	0.146389587816305	0.929168211487287	0	0	0	0
7	14.2327294496996	-7.85364219240137e-05	-0.076346162265132	0.0568497627814306	-0.0194178630617774	-0.00118218000802388	-1.1492108312053	0.956744915377203	-0.266823029312828	0.999085226188442	0.283124772583693	0.366253697164723	0.796242937325217	0.549419134065347	0.66227471640393	0	0	0	0
11	14.1930024251883	-0.0434994728584073	-0.0295626911944975	-0.0156984826833853	-0.00176170101947548	-0.720800568960441	-0.489863514032842	-0.290833085944231	-0.0266484963813647	0.491218525661745	0.637163955795968	0.778454155612897	0.979382062388257	0.272715929054738	0.843527122067668	0	0	0	0
25	8.70595765656794	-0.112524752025507	0.0592061538876596	-0.0765951032525187	0.0951358026606481	-1.20547400614255	0.634273599634956	-0.91741491815655	0.930385962367189	0.261902645629351	0.543318035894768	0.38530944609642	0.37894617986527	0.62346770774111	0.619236899574342	0	0	0	0
27	6.90500060434832	0.0934438359947301	-0.0715293400873183	0.0709974330687615	-0.0939757430132868	1.27888244992358	-0.978958287815213	1.08636964594215	-1.17410007065398	0.236202765778861	0.355805135828754	0.30844637051154	0.273570278016155	0.867895745014115	0.495888211949034	0	0	0	0
31	11.4611083493606	-0.208378934151542	0.127875519517003	-0.113624656851231	0.222629796817314	-1.37420786971249	0.843307630780198	-0.837772711557276	1.34026688081428	0.20603509910537	0.423151513453231	0.426079328744342	0.216374220589546	0.879701986628949	0.490627114874101	0	0	0	0
32	13.7980169073371	0.131376614844399	0.0530364579692488	-0.067602892395632	-0.145943049270782	2.12057600110109	0.856071988810198	-1.21998940481556	-2.15044613044581	0.0661893118568604	0.41645321413626	0.256644681562604	0.0631621602941832	3.51433644524435	0.0678862404918654	0	0	0	0
33	12.8842195117559	-0.0146100232684265	-0.0310822657502143	0.0151351633700259	-0.00133707911176195	-0.319775726188798	-0.680310627796724	0.370370771225897	-0.0267153622494348	0.757194560113559	0.515194038100687	0.720561682559368	0.979330342077019	0.212658192157537	0.884922880584833	0	0	0	0
35	14.5589226315446	0.0698453726080412	-0.0117086446735506	-0.0590643104768631	-0.140618327758455	1.41405891090917	-0.237048106654345	-1.3369341264955	-2.5988497405002	0.194443935824277	0.818478500485835	0.217413080533826	0.0312321845029426	3.07803001631751	0.0893330663212738	0	0	0	0
39	4.63113447055675	0.648511144837756	-0.0120435980696225	-0.027969614343883	-0.688524357251262	5.52818311907192	-0.102664720678056	-0.266567047154536	-5.35788838210684	0.000522979771857254	0.920714130472899	0.796433295862475	0.000641933126312612	14.4987169504664	0.00125868510072366	0	0	0	0
40	6.75476534312982	0.0215162825930326	0.204973779478376	-0.223749857466933	-0.0402923605815895	0.229719162179754	2.18840799692032	-2.67083929910553	-0.392701059392207	0.823979401545287	0.0595105681631038	0.0279045368461175	0.704627285806374	3.40375538749432	0.0726588281727186	0	0	0	0
41	5.86866692743557	0.160861292908545	0.025865748714752	0.0975308577492449	-0.0374646864445483	0.986574468805548	0.158636592042203	0.668767820217598	-0.209753780218203	0.352274712702392	0.877821740533537	0.522160089981079	0.839016424454638	0.382333744206146	0.768614346690797	0	0	0	0
44	8.65284968104928	0.268277671925343	0.10151167389621	-0.143913087546247	-0.31067908557538	2.00916526946722	0.760233709253688	-1.20499829004226	-2.12399029769171	0.0787806606884744	0.468567605987698	0.26207645782388	0.0658362227832799	3.26604700512116	0.0791951320111101	0	0	0	0
45	5.88745668954151	-0.000656516674212071	-0.038130654682055	-0.139299695985337	-0.17677383399318	-0.00363558935456555	-0.21115595032079	-0.862450617382874	-0.893627285050149	0.99718677819643	0.837957998424843	0.413134016623818	0.397180532870685	0.521819498256085	0.678990152632073	0	0	0	0
46	6.8509157628657	-0.377341391929728	-0.1057533779104	0.141398966962087	0.412986980981415	-2.0927829634169	-0.586521575284509	0.876780711667963	2.09091068626552	0.0691332762917645	0.573432092540389	0.405745506604828	0.069336131985201	2.90999610661511	0.0997760935143119	0	0	0	0
48	14.2962238554868	0.0207752689438383	-0.00252301723396187	-0.0809776987336903	-0.10427598491149	0.313307459561448	-0.0380490920304929	-1.36535164421908	-1.43554813099248	0.761927542619943	0.970565485679686	0.208690929142867	0.188432983901035	1.32095571107188	0.332505255935745	0	0	0	0
