,S3KO_126_Proteins_norm,S3KO_127C_Proteins_norm,S3KO_129N_Proteins_norm,S3FL_127N_Proteins_norm,S3FL_130N_Proteins_norm,DFC_128N_Proteins_norm,DFC_129C_Proteins_norm,DKO_128C_Proteins_norm,DKO_130C_Proteins_norm,DKO_131_Proteins_norm
1,583.0278963726936,650.5129657725846,560.808999055035,674.7876063486906,596.3366984145854,589.245184539386,491.8034225576362,549.7374406631757,617.0524564868798,613.2664096841551
3,18.190320343567475,28.023844836077,24.169985981405116,19.298848730234322,28.152386789490944,31.411967558165795,29.616558616689968,29.454145161481627,29.23142599040514,25.80177315299152
4,83171.02036675888,91485.8296455543,87677.49513803287,89753.08857977981,88670.93059888022,115126.48585762031,89900.70250341829,86171.06906513599,89830.66621749027,89673.20885808094
5,1744.6767558389693,2594.19382551806,1821.1322320313666,2440.2002013875885,2581.129357225959,1635.5886556148398,2848.727682878528,1992.1113253619997,2013.5763507315594,1991.1000679459264
6,1516.735164317255,1479.4885920722136,1612.5300106783384,1481.3066577614682,1468.171666148084,1359.0189182636327,1713.4262692387463,1524.58172268684,1516.2430450586255,1472.6931183830636
7,18555.908276658043,18046.88269867622,19457.056462652574,19438.9334083309,19949.57152146948,19667.59252667008,19193.937833909134,20677.68913157388,19477.20841187988,18208.46308920231
11,18442.45318585538,18158.69405256611,19344.045447117896,18935.819142925786,19119.718183158904,18128.857437692917,19922.07176282678,18593.478650818884,18825.237869738932,17913.165589844728
25,411.2512630251905,412.4049598174034,454.7659074068881,392.6979666997929,425.051650369051,392.92038730084977,484.7002641902187,403.01623248937733,406.2469850953233,401.7298136136731
27,117.95578861962827,110.20187631484333,124.11614422883707,128.466963189321,118.24002451586196,112.55955041676077,118.46623446675987,129.4663544784528,121.91400191220164,118.47946569149416
31,2673.320738739445,2861.367102975524,3188.2606733309344,2662.7610539084003,2645.237774862379,2575.8716040441877,3723.138517159094,2955.41573707986,2604.5898919164056,2501.5388228586003
32,15830.735748485644,14611.878852924377,14470.309309921497,14388.299877203954,14449.385385239144,12553.413724667673,13527.9049144893,14463.633827188307,13866.969472820349,14500.217074140748
33,7455.874756492036,7418.83954459402,7545.499452438205,7616.516284693025,7655.473600651046,7581.025630194456,7677.069485001906,7587.409774303011,7646.2626305687045,7424.175646392946
35,25280.04457974183,24468.13017219678,24763.348249867537,24729.31432890757,25349.100527389317,22291.574989072033,23140.52485835513,23500.451311900346,23630.365519574676,24395.007359392752
39,28.31689043173906,27.361118775764364,26.347462195946115,26.88396838042592,28.251167094015475,19.587347586557406,14.928671823046974,24.28867940555015,28.433298318312165,27.88868127565995
40,126.30083248858448,128.66353085212378,107.45845118759843,108.11195855842709,100.95347122406928,101.81810174026154,101.37049737907704,97.37452467564448,100.86338456074947,111.64958456276109
41,51.382966743685444,66.84065694010256,56.723255388793085,61.92914144776685,52.3535613980007,46.48610141510168,66.21588308609545,59.67761501001687,64.94763931656567,61.563789618718744
44,435.5362783292316,461.16266282611844,439.7413215265552,439.45686884717657,392.05902865785805,279.3679298635722,400.90707395763246,393.344722137846,405.94768721828837,410.07744610434685
45,69.38575801154605,64.6631284562182,52.58605058116518,62.21718396612856,64.7010994635669,54.51962185382799,57.78840705695603,47.36842001715888,51.579000809008384,72.28290861242478
46,82.88785146244149,99.88228480426092,131.19294192609533,102.44712236398021,119.42538817015632,142.07596820848553,152.6577086421255,103.41921864535152,127.30136369882919,110.70098996154817
48,21764.81205561634,19980.43331721406,20524.781924452753,20819.137142147407,20740.30785918834,18214.969555654094,20514.88450521939,20019.147199455976,19444.58494328308,19375.993324375177
49,472.38574170563373,590.0155439811887,410.01877119807057,661.9217071952011,553.367265946415,607.4785680070569,275.4580736381571,420.16118265800094,564.8748599238018,702.5291616582912
50,8991.737886531393,8710.871336749231,8664.72222671228,8935.07891958013,9093.3197133101,8564.454901878986,9025.465649664213,8622.261381916858,8826.094861840142,8365.181490796165
