A	Coef.DKOvsDFC	Coef.TACMIvsSham	Coef.DKOvsTACMI	Coef.DFCvsSham	t.DKOvsDFC	t.TACMIvsSham	t.DKOvsTACMI	t.DFCvsSham	p.value.DKOvsDFC	p.value.TACMIvsSham	p.value.DKOvsTACMI	p.value.DFCvsSham	F	F.p.value	Res.DKOvsDFC	Res.TACMIvsSham	Res.DKOvsTACMI	Res.DFCvsSham
0	1.61486985400023e-16	0.318067239243937	0.152908812734301	0.722060756748756	0.556902330239119	0.540004920578921	0.290246038318527	1.37058989814909	0.945491900787529	0.60240257795445	0.77825753097557	0.203976657183795	0.369295123249804	1.10929773619514	0.395380381938949	0	0	0	0
1	-1.21115239050017e-16	-0.549029876921697	0.230089522079107	-0.472236357074141	0.306883041926663	-1.10645264722398	0.518428301820173	-1.06402364802827	0.618457334292449	0.297455102740133	0.61676374915124	0.315251957830631	0.551725678222253	0.555906682187173	0.657211487568076	0	0	0	0
2	-9.28550166050131e-16	0.558747672292996	0.103616653139696	-0.068878182292922	-0.524009201446222	1.73837006275724	0.360421818940505	-0.23958696787727	-1.63029208634585	0.116424266100807	0.726912584972482	0.816061085435876	0.137755051618106	1.47499460919592	0.286271747474008	0	0	0	0
3	-1.04966540510015e-15	0.0464548146013193	-0.00914694228144107	0.242107509242289	0.186505752359528	0.167848612661778	-0.0369503000980664	0.978025754098072	0.673874862178418	0.870443473352732	0.971337738700083	0.353820761886291	0.517457856321327	0.483977209909356	0.701704906822866	0	0	0	0
4	-8.88178419700125e-16	1.03318333998471	0.604538477809736	0.765573000114995	0.336928137940023	3.50467823281003	2.29271309399246	2.90343676407503	1.14289948875588	0.00675918183109308	0.0477906777018528	0.0176444403692533	0.282805480618292	9.58132862482831	0.00374491171765777	1	0	1	0
5	-1.4331969954252e-15	0.287010513103925	0.735816541911723	0.123575733744709	0.572381762552507	0.501753975848374	1.43819432549876	0.241535639548462	1.0006421784272	0.62798175810867	0.184497948899641	0.814596846013072	0.343350423911624	1.10190283705861	0.398029134810338	0	0	0	0
6	-1.29189588320018e-15	0.826127580526138	1.80446582822874	-0.609390942827568	0.368947304875036	1.60843735461741	3.92790248913778	-1.32650237191801	0.718325644894322	0.142477691958107	0.00352476102150706	0.21760582003005	0.490928576533531	6.00922475742369	0.0158625144087719	0	1	0	0
7	-7.67063180650108e-16	0.136922240010686	0.613968174558337	0.0605671533587035	0.537613087906355	0.457356195183969	2.29288058584625	0.226189655801041	1.7957687249841	0.658342163403251	0.0477776254427276	0.826148028718752	0.106372588326231	2.64909425787561	0.113005667814388	0	0	0	0
8	9.68921912400137e-16	0.372403837964976	0.125035251866972	0.207053025806369	-0.0403155602916354	0.507484281276165	0.190500415247192	0.315460534572009	-0.0549390501737274	0.624114958778087	0.853178851747939	0.759662083724768	0.957396954976942	0.118408166799864	0.946986894579714	0	0	0	0
9	1.21115239050017e-15	0.421250527601298	-0.33203939149538	0.797091903001164	0.0438019839044855	1.34495978933994	-1.18525953643104	2.84532740283992	0.139850049281378	0.211808748723472	0.266507298861908	0.0193897571852467	0.891882984018344	2.72367988963516	0.107093386643857	0	0	1	0
10	1.73598509305024e-15	0.384562411760991	1.53908138443952	-0.74427537481839	0.410243597860138	0.410653559501795	1.83749155019987	-0.888581803455874	0.438077119790877	0.691008521587142	0.0995786333372097	0.397539310691894	0.671739403611642	1.19594803938574	0.365773767490808	0	0	0	0
11	1.93784382480027e-15	0.929801986616259	0.656327408618009	0.587848852568003	0.314374274569753	1.15460809529338	0.911212515003613	0.816140274437688	0.390383208032472	0.278222845453771	0.386128415452345	0.435656354972984	0.705405299630749	1.0669694849454	0.410812283310442	0	0	0	0
12	1.61486985400023e-15	1.0373747682663	-0.0601802643386111	0.985053098660456	-0.112501933944454	1.93648312081621	-0.125599275080184	2.05585595987261	-0.210009056328513	0.0850517466731454	0.90283230743452	0.0702025678083936	0.838375491205884	2.02506996533046	0.181481446704599	0	0	0	0
13	1.45338286860021e-15	0.478704571395503	-0.996254436534535	1.527343932067	0.0523849241369652	1.54612376908715	-3.59750956157217	5.51529227667315	0.169193237728813	0.156752272959623	0.00584827014562491	0.000383671936067957	0.869416505719256	10.6570209853082	0.00261945895309409	0	0	1	0
14	1.53412636130022e-15	0.0589823991110293	0.741818856712724	-0.641493547220667	0.041342910381027	0.0835827570792077	1.17529566549967	-1.01634594304528	0.0585861966858969	0.93523249594709	0.270271279733332	0.336218182748048	0.954572221864765	0.594422110831081	0.634386372388836	0	0	0	0
15	1.83691445892526e-15	1.12048881868565	-0.321677714785525	1.24388066240652	-0.198285871064662	0.878848730078517	-0.282086682813697	1.09078793384337	-0.155524341761932	0.402519785807067	0.784307772233923	0.303931997499317	0.879867948533724	0.471817623101445	0.709456844969804	0	0	0	0
