A	Coef.DKOvsDFC	Coef.TACMIvsSham	Coef.DKOvsTACMI	Coef.DFCvsSham	t.DKOvsDFC	t.TACMIvsSham	t.DKOvsTACMI	t.DFCvsSham	p.value.DKOvsDFC	p.value.TACMIvsSham	p.value.DKOvsTACMI	p.value.DFCvsSham	F	F.p.value	Res.DKOvsDFC	Res.TACMIvsSham	Res.DKOvsTACMI	Res.DFCvsSham
64	2.3518260701026	0.399715115724064	0.132286868026883	0.442710237316072	0.17528198961889	0.699717006896241	0.258906884450092	0.866455831688238	0.306838006155403	0.502032964948707	0.801612684315894	0.409056246149639	0.76604463533583	0.468254831858014	0.711783126678085	0	0	0	0
75	3.20107839124434	-0.467382000441571	0.20946757737169	-0.751586876506827	-0.0747372986935662	-0.968862914237308	0.485469740928616	-1.74190531442328	-0.154927226435895	0.358277315918324	0.639104050118599	0.11598265712282	0.880345268157786	1.08000659413346	0.406247447546359	0	0	0	0
208	3.19206577413216	0.893916869478135	-0.0663771647510867	0.660358108767205	-0.299935925462017	3.25033279569269	-0.269838802709998	2.68451118841535	-1.09058415656119	0.0101799010760973	0.793454317174954	0.0253246306656272	0.304181991463145	4.27383348490048	0.0397059485814251	1	0	1	0
224	5.17471649114798	0.38162401178646	-0.179140760172225	0.971343800302417	0.410579028343732	1.62486863315453	-0.852770133364004	4.62392244696202	1.74815253752978	0.139116544630364	0.416209478032044	0.00129472422623566	0.114853210007266	8.42366352401043	0.00577730484317021	0	0	1	0
231	3.43024922372727	1.36835253716985	0.434544659918952	1.49480929117512	0.561001413924228	4.73011774048927	1.67943567053166	5.77716464105181	1.93926833060944	0.00111614913364248	0.127852014429861	0.000281710558760624	0.0848677257640769	20.6791350390434	0.00024097676680417	1	0	1	0
251	2.42388717072525	0.622179710289064	0.565822724020939	0.852812024804837	0.796455038536711	0.987088854428083	1.00363499382634	1.51268578463518	1.26357687110597	0.349747208596088	0.342135340374341	0.165126792095257	0.23856700320464	2.1602573755985	0.163554340925756	0	0	0	0
252	2.45538904283145	1.16129677771128	1.63447201033796	0.119845348232558	0.59302058085924	2.18018409853419	3.43069761899846	0.251551050265134	1.11331923527843	0.057575474924252	0.00765839852400609	0.807116695131266	0.294818299289127	6.10390205632436	0.0153217778334287	0	0	0	0
255	3.82163500917837	0.472091437195823	0.443974356667554	0.789803444418829	0.76168636389056	1.79704034708913	1.88949000019581	3.36128807427279	2.89939833662177	0.106359849790334	0.0918762475645443	0.00854129452180046	0.0178688642404539	9.70081853467403	0.00365295856207132	0	0	1	0
830	4.9452251661005	0.306098091451182	0.569677116525303	-0.149638556182959	0.113940468891162	0.424972815290623	0.884268814951689	-0.232273168271293	0.158189819513897	0.680975419632852	0.399875330664805	0.82159405352206	0.877848495786202	0.321082193156272	0.810139690112572	0	0	0	0
872	2.98910767962105	0.354944781087504	0.11260247316295	0.440400321011837	0.198058013087283	1.17691399579521	0.417433085845679	1.63262546410825	0.656714114425444	0.269832723789732	0.686279891667057	0.137462212272273	0.528026143354019	1.56782350991826	0.264753456375355	0	0	0	0
956	3.21262120713245	0.318256665247198	1.98372324909785	-1.10096695680771	0.564499627042935	0.344421910454132	2.40021062157405	-1.3321175647529	0.610909562084921	0.738550507586578	0.0402543541727961	0.216018906283668	0.556581661864618	2.00946719836469	0.184141677669709	0	0	0	0
1038	3.26516726998897	0.863496240102465	1.10096927327634	0.231157270578676	0.468630303752551	1.07802089488068	1.53672774671815	0.322648233857409	0.585055540438231	0.309455100138654	0.159213450222723	0.754433859373026	0.573084107498917	1.39926109305918	0.306022574451676	0	0	0	0
1054	3.15576887644606	0.971069021752504	0.384461600319719	0.628361516671128	0.0417540952383435	1.83904195238625	0.81404706074057	1.33047317418239	0.0790752573783736	0.0995332078538592	0.436916601580798	0.216538078253436	0.938727214512958	1.85571622796842	0.208388804184579	0	0	0	0
1207	3.66609826877557	0.412398824881709	-0.551612571876205	1.17065235007768	0.206640953319762	1.41163838283714	-2.11103387103938	4.48011319578923	0.70733058285485	0.192145192530625	0.0643938606066792	0.0015870848780359	0.497514958497562	6.87850615189804	0.0108001136554558	0	0	1	0
1704	4.26880100924431	-0.00732334740276475	1.18646072137105	-0.998185129209995	0.195598939563824	-0.0104204288899576	1.88748856571376	-1.58796914547006	0.278318742588458	0.991916357048659	0.0921691631443338	0.147234964583277	0.787144046137503	1.43547874614263	0.296559032304475	0	0	0	0
1830	2.28091519903906	1.05418307217186	0.122964149872805	0.887189080417191	-0.0440298418818643	0.841293162010521	0.10971470480854	0.791594039140826	-0.0351381139362272	0.422274846774129	0.915076693624325	0.44923831586885	0.972747315219059	0.373937699231275	0.774019420472773	0	0	0	0
2323	3.90429914730203	0.0749056507206527	0.990149714668719	-0.237018061977651	0.678226001970415	0.0877611401614219	1.29701066975924	-0.310473204967314	0.794624793288596	0.932015058039635	0.227333841217914	0.763369397617282	0.447561664338526	0.617417123369784	0.621196419738343	0	0	0	0
2397	2.99834435188112	0.240118859944524	0.724671783046105	-0.0192807415953933	0.465272181506188	0.158576836060434	0.53506905343225	-0.0142361388924985	0.307270284671655	0.877552416991591	0.605748493852894	0.988956514432833	0.765726337404502	0.1239743859184	0.943550366998185	0	0	0	0
2556	5.51008190609711	-0.0111282744923207	0.0344737448808825	0.415155741899847	0.46075776127305	-0.0501764294521416	0.173786242826938	2.09284940821195	2.07751698783112	0.961093038878481	0.865933227188697	0.06631305903584	0.0679740795695108	2.9500616260464	0.0916591056423108	0	0	0	0
2747	6.2985979568234	1.07064537995737	1.44944112031463	0.709308884856243	1.0881046252135	2.45388225465819	3.71418607331208	1.81760069097372	2.49389824213247	0.036881225074134	0.00493371205271056	0.102965310057984	0.0345510843942714	10.6312654107036	0.00268823131799722	0	0	0	0
2828	1.82482074247292	2.17974712408404	-0.148666614914217	3.28851600920979	0.960102270211533	4.24952190274901	-0.324042831191194	7.16785028472455	1.87176557365911	0.00221363024695422	0.753412767026653	5.65850327446277e-05	0.0945010517502265	21.8514224622286	0.000194925918672822	1	0	1	0
2830	2.29437182750861	2.62788475499133	1.88767940073714	3.40030512518112	2.66009977092693	3.89657832071563	3.12939466312267	5.63702539084505	3.94434614328005	0.00373821855655182	0.0123433381626904	0.000335715509631548	0.00347876432282909	26.3872901688921	9.33075807606173e-05	1	0	1	0
2834	4.66484795799774	1.77200630226922	-0.332376744211367	2.446958571654	0.342575525173416	5.9849871918486	-1.25511522880451	9.24016201802494	1.15705577783673	0.000218247929553716	0.241481966841992	7.58513285190328e-06	0.277445750730902	33.8206028511869	3.45741991746715e-05	1	0	1	0
2839	1.7333866210089	3.76783293130812	0.065929752326274	3.30624825002312	-0.395654928958723	8.65335279869719	0.169289188634379	8.4895220127681	-0.908676618428154	1.28777576346454e-05	0.869365328633569	1.50065885482169e-05	0.387533625707415	38.3819380503283	2.06608667168202e-05	1	0	1	0
2840	4.47046068946897	3.49490968010335	1.01885448823553	3.57081748406936	1.09476229220154	7.74539914326598	2.52449791272013	8.84770238471361	2.4262060242561	3.10121187475658e-05	0.0328690968034156	1.07728118648767e-05	0.0385839030121516	48.8915490702994	7.60996055562838e-06	1	0	1	0
2846	5.07215274221289	2.00422308456165	0.356146677153407	2.58973377289858	0.941657365490343	6.7630370945333	1.34362975465274	9.77025359806129	3.17752237373544	8.81401672262084e-05	0.212413675338222	4.8137710043588e-06	0.0114302540388826	49.1934546160563	7.41748081505936e-06	1	0	1	0
3401	3.13180682846632	0.889723363275003	0.0775997357432603	0.940787329314231	0.128663701782489	1.80296680188656	0.175811785309051	2.13146988683186	0.260728662972021	0.105370842335636	0.864388322567958	0.0623011710045565	0.800251311614592	2.304018672165	0.146437678577961	0	0	0	0
3552	4.25230298574954	0.108042289320094	0.954789985726254	-0.253409545793724	0.593338150612435	0.115377595179147	1.13996250381429	-0.302555938616934	0.633621606655212	0.910714454275192	0.284135674009724	0.769200134999074	0.542312209681037	0.465839890102521	0.7133331666882	0	0	0	0
3559	3.5631603644436	0.285762665236947	0.856054924469167	-0.0565459845613363	0.513746274670883	0.26876250566249	0.900160247646343	-0.059459324409239	0.483183259579509	0.794256384464853	0.391808597379423	0.953903748194092	0.640663448951357	0.33849544622166	0.798167066679177	0	0	0	0
3790	3.59480569114658	0.828027995464518	0.419919472726656	0.503153492220925	0.095044969483062	2.50160880223762	1.41838913822921	1.69953406445814	0.287146489695495	0.0341193012585158	0.190227192530699	0.123917013136083	0.780592393556906	3.76513140678896	0.053814540041273	0	0	0	0
3907	7.5506507513992	-0.22736930400467	0.207020542420164	-0.0686565028049433	0.36573334361989	-0.931402109490813	0.948142979112593	-0.314443099916207	1.49820051237742	0.376290251693466	0.368160420575794	0.760451643692613	0.168782622572018	0.790019267550957	0.529710059086943	0	0	0	0
3908	3.32506816768212	0.525032218144255	0.244030965812333	0.445705241837388	0.164703989505466	1.20041455267475	0.623799816521345	1.13932609804355	0.376573206468689	0.261041963329772	0.548456616803506	0.284387208912811	0.715337084814238	1.1167668877484	0.392994033339447	0	0	0	0
3920	3.69521301239892	0.0860000858009862	1.16851545375431	-0.34195095400323	0.740564413950093	0.0945798471027226	1.43677641365119	-0.420454058830673	0.814446501869816	0.926749747714307	0.185086902870753	0.684152322614104	0.436699485025842	0.730696755104755	0.559540036251876	0	0	0	0
3928	2.27308755850148	0.689979127493199	0.404774949753141	1.03830647627522	0.753102298535165	0.799844952953486	0.524612325209649	1.34570673192889	0.873019267596553	0.444683629598494	0.612704274893591	0.211768699902518	0.405656354155431	1.25243152268816	0.348128714018811	0	0	0	0
