A	Coef.DKOvsDFC	Coef.TACMIvsSham	Coef.DKOvsTACMI	Coef.DFCvsSham	t.DKOvsDFC	t.TACMIvsSham	t.DKOvsTACMI	t.DFCvsSham	p.value.DKOvsDFC	p.value.TACMIvsSham	p.value.DKOvsTACMI	p.value.DFCvsSham	F	F.p.value	Res.DKOvsDFC	Res.TACMIvsSham	Res.DKOvsTACMI	Res.DFCvsSham
0	13.8314670462861	-0.0663057465137928	0.444641864658333	-0.356691581989329	0.154256029182797	-0.844108603362234	6.32867093813959	-5.07685809240994	1.96376405062582	0.419525328635666	0.000111619944551935	0.000577639106539426	0.0797181539590523	15.0162615105485	0.000628157100922923	0	1	-1	0
1	13.7402134431406	-0.0420910999326747	0.194635201897345	-0.107548375232886	0.129177926597134	-0.560782598608648	2.89921651723585	-1.60200222178471	1.72104633701395	0.588032633981889	0.0168206863569876	0.142108423292226	0.117842280397515	2.91251221028952	0.0905051492066485	0	0	0	0
2	16.3736146578375	-0.0474358414706799	0.049552646725612	0.125655891570673	0.222644379766965	-0.753725862152322	0.880295883290688	2.23225945272692	3.53767998817835	0.469431116263593	0.400596397563581	0.051224474126035	0.00589814079051268	5.93676118859199	0.0150187671656649	0	0	0	0
3	13.4513893430158	0.0915326692427154	-0.308386807601007	-2.21028275995489	-2.61020223679861	0.385079592323841	-1.45052485123568	-10.3962620726642	-10.9811679430422	0.70872828293153	0.179375914519265	1.80147618375903e-06	1.11498734376328e-06	78.0528924657804	5.75787032282021e-07	0	0	-1	-1
4	11.6772869958412	0.0173766755182889	-0.190311013397478	0.156262771096992	-0.0514249178187747	0.285034773603718	-3.49019814311441	2.86577231545477	-0.843538212625126	0.781784496445509	0.00636783224078009	0.0177844473203681	0.41982853346104	4.68542436144367	0.0292164842007752	0	-1	1	0
5	9.89437849372173	-0.0562911987907668	0.179790457255001	-0.11269944055903	0.123382215486737	-0.830488980351675	2.96561670990217	-1.85896042104421	1.8203124561973	0.426806128236195	0.0150618054182307	0.0944968545036903	0.100565581031136	3.16154512399416	0.0759680153047474	0	0	0	0
6	14.7344155875647	0.0467557281938191	0.238211667204141	-0.494941400615804	-0.303485461605483	0.711525404240483	4.05297216043174	-8.42101371979348	-4.6184205463513	0.49399852301673	0.00261323122038867	1.09864460285258e-05	0.00111452541038523	32.9538377541926	2.56849393273465e-05	0	1	-1	-1
7	6.9644206485846	0.157829250889529	-0.283700697571216	0.440928703329099	-0.000601245131646166	1.61203890883683	-3.23968984705422	5.03513828368886	-0.00614100707251499	0.13990130439449	0.00957716529531953	0.000612472971045728	0.995228291791477	8.76452112785791	0.00438168595630847	0	-1	1	0
8	14.574411412762	-0.00105114777243465	0.0501385171566699	-0.00236106940890757	0.048828595520197	-0.0208215336436097	1.11038972095496	-0.0522892847811996	0.967215334566295	0.983822354821998	0.294365918533987	0.959390171685275	0.357608015873758	0.570142962152042	0.64799807574201	0	0	0	0
9	14.3614278931518	0.00733930368800273	-0.279871862296202	0.197492263691123	-0.0897189022930824	0.123574112359242	-5.26849879776414	3.71772905388823	-1.51062473826183	0.904248821420535	0.000442828330791523	0.00442133212273758	0.163671944892532	9.8981939178828	0.00288910997564887	0	-1	1	0
