,TAC-MI_126_Proteins_norm,DKO_127N_Proteins_norm,Sham_127C_Proteins_norm,DKO_128N_Proteins_norm,DFC_128C_Proteins_norm,Sham_129N_Proteins_norm,DKO_129C_Proteins_norm,TAC-MI_130N_Proteins_norm,Sham_130C_Proteins_norm,DFC_131N_Proteins_norm,TAC-MI_131C_Proteins_norm
0,17415.15874728496,14457.496272971965,12355.22618586432,13557.139397317454,15538.258866065606,12799.671737595989,13234.901496087698,17837.38777828139,13661.717859213393,13320.041991773422,17532.658293576398
1,14563.135902175545,13366.392925224929,12333.754921471593,13822.121235526442,15091.243464039148,13320.259415326826,13493.025853626792,15191.566811317933,12660.271975205098,12914.626714027281,14091.806289667213
2,83810.94986222438,94608.93895226122,79658.06056987394,88774.03975820755,93567.89174321156,80189.17922183892,84906.80556364043,83435.38942743525,77550.76454409871,91104.42739229336,78529.17221036671
3,16058.20641466363,4145.004329594487,20976.544439309273,5271.576993098648,4187.332324782126,25983.873837512234,4556.705255025938,22778.94942927639,34376.677648133424,4518.893078478802,26975.529769858265
4,3021.015703229137,3206.440830512403,3411.838966528459,3581.036784967013,3235.8642751651746,3479.9229438506136,3300.374873175043,2985.2697445568747,3425.9873783513217,3403.648925921463,3036.262936875609
5,1001.8935327122012,916.2146375334983,845.7475989771217,948.4202625398956,1028.109237466831,941.8807030334484,946.324214316382,1033.4392733947245,897.8671953060735,923.0178201700407,1003.9433418356026
6,31279.933963546526,23123.3560243947,28268.295936127648,23495.788315224916,22514.352773339695,28270.487833430787,24774.50308651567,34165.386570960734,28725.193229801404,23555.265629619484,35250.906987386836
7,94.15754526815687,139.05958296897936,122.00082536995845,149.5707797625305,132.33262047883477,141.61308762977802,139.53736326386084,113.14959253113913,121.13816597148411,123.53856102993991,108.9009763866572
8,25185.763199773635,24495.505174711056,23755.03616077636,24862.29916687263,24922.87629857189,23472.428378595487,24456.29465187712,24108.26729320766,24185.623811969097,24324.668096235193,24650.71332157461
9,19615.950796131445,20994.09484614073,23651.75387359493,21311.64013407599,21443.03466572971,22601.945258974712,22310.265345476266,18490.086266741215,22161.838488720725,21401.336432748714,18252.28232801424
