Name,Symbol,Accession,Description,Entrez,Gene Symbol,Ensembl,MitoCarta2_List,Matrix,IMS,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,Chromosome,Modifications,Acetyl (K) Count,Acetyl (K) Positions,TAC-MI_126_Proteins,DKO_127N_Proteins,Sham_127C_Proteins,DKO_128N_Proteins,DFC_128C_Proteins,Sham_129N_Proteins,DKO_129C_Proteins,TAC-MI_130N_Proteins,Sham_130C_Proteins,DFC_131N_Proteins,TAC-MI_131C_Proteins,TAC-MI_126_Proteins_norm,DKO_127N_Proteins_norm,Sham_127C_Proteins_norm,DKO_128N_Proteins_norm,DFC_128C_Proteins_norm,Sham_129N_Proteins_norm,DKO_129C_Proteins_norm,TAC-MI_130N_Proteins_norm,Sham_130C_Proteins_norm,DFC_131N_Proteins_norm,TAC-MI_131C_Proteins_norm,TAC-MI_126_Proteins_norm_log2,DKO_127N_Proteins_norm_log2,Sham_127C_Proteins_norm_log2,DKO_128N_Proteins_norm_log2,DFC_128C_Proteins_norm_log2,Sham_129N_Proteins_norm_log2,DKO_129C_Proteins_norm_log2,TAC-MI_130N_Proteins_norm_log2,Sham_130C_Proteins_norm_log2,DFC_131N_Proteins_norm_log2,TAC-MI_131C_Proteins_norm_log2,A,DKOvsDFC_Log2FC,TACMIvsSham_Log2FC,DKOvsTACMI_Log2FC,DFCvsSham_Log2FC,DKOvsDFC_t,TACMIvsSham_t,DKOvsTACMI_t,DFCvsSham_t,DKOvsDFC_p_value,TACMIvsSham_p_value,DKOvsTACMI_p_value,DFCvsSham_p_value,F,F.p.value,DKOvsDFC_significant,TACMIvsSham_significant,DKOvsTACMI_significant,DFCvsSham_significant
Myosin-6,Myh6,Q02566,Myosin-6 OS=Mus musculus GN=Myh6 PE=1 SV=2,17888,Myh6,ENSMUSG00000040752.15,False,False,False,82,295,9238,89,99,14,Acetyl [K83(100); K271(100); K364; K398; K430(100); K451(100); K503(100); K566(100); K612(100); K665(100); K746(100); K843(100); K878(100); K886; K912(100); K920(100); K953(100); K970(100); K993(100); K1249(100); K1264(100); K1281(100); K1296(100); K1307(100); K1376(100); K1418(100); K1446; K1447; K1485(100); K1501(100); K1530; K1643(100); K1729; K1756(100); K1772(100); K1816(100); K1860(100); K1872(100); K1921(100)],39,Acetyl [K83(100); K271(100); K364; K398; K430(100); K451(100); K503(100); K566(100); K612(100); K665(100); K746(100); K843(100); K878(100); K886; K912(100); K920(100); K953(100); K970(100); K993(100); K1249(100); K1264(100); K1281(100); K1296(100); K1307(100); K1376(100); K1418(100); K1446; K1447; K1485(100); K1501(100); K1530; K1643(100); K1729; K1756(100); K1772(100); K1816(100); K1860(100); K1872(100); K1921(100)],81979.5,106678.6,72344.7,72766.2,107191.2,67837.4,85918.5,87896.9,69780.1,109954.9,78744.8,83810.94986222438,94608.93895226122,79658.06056987394,88774.03975820755,93567.89174321156,80189.17922183892,84906.80556364043,83435.38942743525,77550.76454409871,91104.42739229336,78529.17221036671,-0.01876353460298219,0.15607422211423483,-0.09208192336990706,0.06423557184900375,0.14011126893715797,-0.08249470664816272,-2.2083056105515197e-05,-0.02524284039630942,-0.130761273963639,0.10161888794230123,-0.11267358880558831,16.3736146578375,-0.0474358414706799,0.04955264672561201,0.125655891570673,0.222644379766965,-0.7537258621523221,0.880295883290688,2.23225945272692,3.5376799881783505,0.46943111626359296,0.400596397563581,0.051224474126035,0.005898140790512679,5.936761188591991,0.0150187671656649,0,0,0,0
Titin,Ttn,E9Q8K5,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,,,ENSMUSG00000051747.14,False,False,False,66,2129,12924,0,113,2,Acetyl [K484; K10979(100); K11142(100); K11297(100); K11580(100); K11715(100); K13017(100); K13036(100); K14644(100); K15950(100); K16805(100); K16921; K17352(100); K18435(100); K19431(100); K22880(100); K23778; K25472(100); K25925(100); K27008(100); K29568(100); K29874(100); K30867(100); K31779(100); K31985(100)],25,Acetyl [K484; K10979(100); K11142(100); K11297(100); K11580(100); K11715(100); K13017(100); K13036(100); K14644(100); K15950(100); K16805(100); K16921; K17352(100); K18435(100); K19431(100); K22880(100); K23778; K25472(100); K25925(100); K27008(100); K29568(100); K29874(100); K30867(100); K31779(100); K31985(100)],17034.6,16301.9,11220.9,11112.5,17800.6,10828.1,13392.6,18791.2,12292.8,16076.1,17580.8,17415.15874728496,14457.496272971965,12355.22618586432,13557.139397317454,15538.258866065606,12799.671737595989,13234.901496087698,17837.38777828139,13661.717859213393,13320.041991773422,17532.658293576398,0.25658895708533613,-0.011936936530531739,-0.2386332445573558,-0.10470186972819384,0.09207018539871115,-0.1876478556219059,-0.13940720946543195,0.2911496864555847,-0.09361576355190593,-0.13015603618722693,0.26629008670290233,13.831467046286098,-0.0663057465137928,0.44464186465833294,-0.356691581989329,0.154256029182797,-0.8441086033622339,6.32867093813959,-5.076858092409941,1.9637640506258203,0.419525328635666,0.00011161994455193502,0.000577639106539426,0.0797181539590523,15.016261510548501,0.0006281571009229231,0,1,-1,0
Isoform 2 of Titin,Ttn,A2ASS6-2,Isoform 2 of Titin OS=Mus musculus GN=Ttn,22138,Ttn,ENSMUSG00000051747.14,False,False,False,80,2062,12977,2,69,2,Acetyl [K484; K4398(100); K4561(100); K4716(100); K4999(100); K5134(100); K6436(100); K6455(100); K8063(100); K9369(100); K10224(100); K10340; K10771(100); K11854(100); K12850(100); K16299(100); K17197; K18891(100); K19344(100); K20427(100); K22987(100); K23293(100); K24286(100); K25198(100); K25404(100)],25,Acetyl [K484; K4398(100); K4561(100); K4716(100); K4999(100); K5134(100); K6436(100); K6455(100); K8063(100); K9369(100); K10224(100); K10340; K10771(100); K11854(100); K12850(100); K16299(100); K17197; K18891(100); K19344(100); K20427(100); K22987(100); K23293(100); K24286(100); K25198(100); K25404(100)],14244.9,15071.6,11201.4,11329.7,17288.5,11268.5,13653.8,16003.9,11391.7,15586.8,14130.5,14563.135902175545,13366.392925224929,12333.754921471593,13822.121235526442,15091.243464039148,13320.259415326826,13493.025853626792,15191.566811317933,12660.271975205098,12914.626714027281,14091.806289667213,0.08981998311208983,-0.03389087347734332,-0.1498889790257678,0.014477974793168258,0.14121062003975027,-0.0388788840677865,-0.020287150107822782,0.15076960903668457,-0.11219266569181308,-0.08349511936905252,0.04235548475789486,13.7402134431406,-0.0420910999326747,0.194635201897345,-0.107548375232886,0.129177926597134,-0.560782598608648,2.89921651723585,-1.60200222178471,1.7210463370139502,0.588032633981889,0.0168206863569876,0.14210842329222598,0.117842280397515,2.91251221028952,0.0905051492066485,0,0,0,0
"Trifunctional enzyme subunit alpha, mitochondrial",Hadha,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",97212,Hadha,ENSMUSG00000025745.11,True,True,False,87,83,1250,82,82,5,Acetyl [K46; K60(100); K129(100); K166(100); K214(100); K259(100); K284(100); K303(100); K326(100); K350(100); K383(100); K386(100); K406(100); K411(100); K436(100); K493(100); K516(100); K540(100); K569(100); K620(100); K644(100); K728(100); K735(100)],23,Acetyl [K46; K60(100); K129(100); K166(100); K214(100); K259(100); K284(100); K303(100); K326(100); K350(100); K383(100); K386(100); K406(100); K411(100); K436(100); K493(100); K516(100); K540(100); K569(100); K620(100); K644(100); K728(100); K735(100)],24023.5,39756.3,31102.5,27574.2,34885.7,27443.2,35542.4,22566.7,28705.5,41233.0,21056.7,24560.19314603221,35258.25572952572,34246.666706400116,33640.24955406173,30451.953154607425,32440.035779979335,35123.88654440119,21421.24924305753,31902.124984352635,34164.08777295448,20999.040196711765,-0.2830141659080354,0.23862503218729714,0.1966275023484929,0.17085233571398462,0.027198691675023312,0.11843933849825738,0.23311641917028325,-0.48029345474942176,0.09431645208612593,0.1931445331418189,-0.5090126841638032,14.867048451838501,0.104026316615439,-0.560567865918047,0.63830469729761,-0.0262894852358766,1.25629107374987,-7.568856264894179,8.61846852234428,-0.31748933067970597,0.239267090042894,2.66647533833909e-05,9.03613658939863e-06,0.7577962195327091,30.683634314087897,3.47894638701787e-05,0,-1,1,0
"Isocitrate dehydrogenase [NADP], mitochondrial",Idh2,P54071,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3",269951,Idh2,ENSMUSG00000030541.16,True,True,False,85,60,960,29,57,7,Acetyl [K67(100); K69(100); K80(100); K106(100); K127(100); K133(100); K155(100); K166(100); K180(100); K193(100); K243(100); K272(100); K282(100); K299(100); K384(100); K400(100); K426(100)],17,Acetyl [K67(100); K69(100); K80(100); K106(100); K127(100); K133(100); K155(100); K166(100); K180(100); K193(100); K243(100); K272(100); K282(100); K299(100); K384(100); K400(100); K426(100)],22423.3,30662.9,27015.5,21817.3,26639.0,23345.2,28390.2,21499.9,23789.2,30348.0,19763.0,22924.244134760716,27193.68677691018,29746.509907780797,26616.88885247191,23253.35538875778,27595.875236516644,28055.904040606674,20408.598359565756,26438.349155310367,25145.192824524594,19708.882750270204,-0.1246114749994014,0.1217861170035004,0.25123476951265467,0.09085630931567579,-0.10404673285183463,0.1429670024524743,0.16681876065437962,-0.29230853757878883,0.08114645529645514,0.008796976067840134,-0.34263964487294807,14.6091980201681,0.174111940716523,-0.4116359615709121,0.379673614808238,-0.20607428747919698,2.13634227012932,-5.6469064445212105,5.208440424139099,-2.52851820108861,0.0600451193987506,0.000266051672976444,0.00048101848211557304,0.0312491589656298,13.389119216363099,0.000969509686631909,0,-1,1,0
"NAD(P) transhydrogenase, mitochondrial",Nnt,Q61941,"NAD(P) transhydrogenase, mitochondrial OS=Mus musculus GN=Nnt PE=1 SV=2",18115,Nnt,,True,True,False,52,68,547,20,68,13,Acetyl [K70(100); K84(100); K117(100); K229(100); K323(100); K394(100); K403(100); K430(100); K451(100); K768(100); K949(100); K1070(100); K1079(100)],13,Acetyl [K70(100); K84(100); K117(100); K229(100); K323(100); K394(100); K403(100); K430(100); K451(100); K768(100); K949(100); K1070(100); K1079(100)],3926.5,45882.2,4565.0,30448.5,43731.0,3256.1,44112.8,4078.9,4109.3,48184.0,3875.1,4014.2193430555694,40691.06886287821,5026.478048861555,37146.86694616158,38173.07273192561,3848.96806870885,43593.36967553853,3871.861350463619,4566.908857124951,39923.42068857562,3864.488769193547,-1.5362582294593583,1.8052625927844232,-1.211829792484858,1.6737909511337374,1.713105736123973,-1.5969059768610112,1.9046591408066966,-1.5883503880611816,-1.3501596815678258,1.7777857534055688,-1.5911001058201393,13.507161964029,0.04912515014351901,-0.18560442414232803,3.36647380268851,3.13174422840267,0.454904501783562,-1.92158532972292,34.8535154915389,29.000309287054897,0.659479372411787,0.0853836190305396,2.8027041898803106e-11,1.5611584784963798e-10,689.159089766239,2.40925926594181e-11,0,0,1,1
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Sdha,Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1",66945,Sdha,ENSMUSG00000021577.13,True,True,False,83,50,711,38,50,13,Acetyl [K179(100); K335(100); K361(100); K480(100); K498(100); K517(100); K538(100); K547(100); K608(100); K624(100); K633(100); K647(100)],12,Acetyl [K179(100); K335(100); K361(100); K480(100); K498(100); K517(100); K538(100); K547(100); K608(100); K624(100); K633(100); K647(100)],14451.3,19531.8,16063.7,15125.2,18878.3,14276.4,17722.0,14636.8,15300.3,19934.2,13057.1,14774.146948248808,17321.964047407593,17687.587170536117,18452.593458925174,16478.990166131836,16875.83542769418,17513.322604547746,13893.858690937728,17004.1310166376,16516.71618566753,13021.34559320716,-0.1361447872364856,0.09338289946179046,0.12351763849713038,0.18460397760955694,0.021408217195343582,0.05573930408422889,0.1092331963812967,-0.22477229013907696,0.06666566051740652,0.024707262497384974,-0.3183410788685901,13.986931999113601,0.106015617971188,-0.308393586447636,0.35549274323226293,-0.0589164611865609,1.6115268009081,-5.24116735646888,6.041620329244031,-0.8955798969413009,0.140013172491325,0.000459787444788842,0.000159698387695784,0.39278364023533796,14.4415791014456,0.000728920748302963,0,-1,1,0
"ATP synthase subunit alpha, mitochondrial",Atp5a1,Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",11946,Atp5a1,ENSMUSG00000025428.15,True,True,False,77,63,1629,0,1,18,Acetyl [K123(100); K161; K167(100); K230(100); K239(100); K261(100); K270; K427(100); K498(100); K531(100); K539(100)],11,Acetyl [K123(100); K161; K167(100); K230(100); K239(100); K261(100); K270; K427(100); K498(100); K531(100); K539(100)],1407.4,1237.2,1650.1,723.5,1290.6,1116.7,1014.0,1138.8,1459.0,1777.8,1426.1,1438.8417938154612,1097.2226788853395,1816.9094038174046,882.6627990064503,1126.5730870051723,1320.0278376976053,1002.0601016257428,1080.9962749535339,1621.4732491045443,1473.0171280954205,1422.1948940019397,0.1801603734483912,-0.21089125030297318,0.5167388870709235,-0.5248132976632771,-0.17280668529819643,0.055820757010160094,-0.3417785563014242,-0.23238604584326872,0.35255762507241073,0.21402660849822652,0.16337158430902043,10.3105318821484,-0.379770996355905,-0.27132378574645,-0.39620967206060903,-0.287762461451154,-2.10596693467481,-1.6821806334866598,-2.4564607754783903,-1.5957464753017399,0.0631321786186608,0.125317051939698,0.0352509854762554,0.143499789961319,5.78493244205524,0.0162050422018655,0,0,0,0
"Trifunctional enzyme subunit beta, mitochondrial",Hadhb,Q99JY0,"Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1",231086,Hadhb,ENSMUSG00000059447.13,True,False,False,76,47,673,31,46,5,Acetyl [K53(100); K73(100); K112(100); K189(100); K202(100); K254(100); K269(100); K278(100); K333(100); K417; K448(100)],11,Acetyl [K53(100); K73(100); K112(100); K189(100); K202(100); K254(100); K269(100); K278(100); K333(100); K417; K448(100)],11839.4,20314.6,15059.3,14749.7,17346.1,13266.1,18263.2,11150.1,13636.5,19455.3,9979.5,12103.896215502893,18016.197730750173,16581.651890738405,17994.487196275662,15141.522876569363,15681.580816405662,18048.14994872906,10584.1381852471,15155.051378625167,16119.917950407713,9952.173020610308,-0.28498043286496433,0.28884261119469556,0.1691357823457622,0.287103033939788,0.0380583581411269,0.08861904560583689,0.291399003945493,-0.4785481527329356,0.03934678791271651,0.128392445397834,-0.5673684828853585,13.8481643347891,0.20588948125718304,-0.5426662281158611,0.732747239187745,-0.0158084701852985,2.45841738610665,-7.24451407602671,9.78206752776215,-0.18876058025878797,0.0351358812108408,3.81163165767632e-05,3.05833328226461e-06,0.854284238286403,35.0285534073685,1.9781100104942e-05,0,-1,1,0
Myosin-3,Myh3,P13541,Myosin-3 OS=Mus musculus GN=Myh3 PE=2 SV=2,17883,Myh3,ENSMUSG00000020908.14,False,False,False,22,67,1266,4,4,11,Acetyl [K271(100); K503(100); K758(100); K842(100); K952(100); K969(100); K1375(100); K1484(100); K1755(100); K1771(100); K1920(100)],11,Acetyl [K271(100); K503(100); K758(100); K842(100); K952(100); K969(100); K1375(100); K1484(100); K1755(100); K1771(100); K1920(100)],271.4,309.1,269.4,311.1,284.0,208.0,286.2,242.5,205.7,328.9,269.5,277.4631681409096,274.1282978042826,296.6337757641408,379.53890362253867,247.90543678093056,245.87247267941427,282.8299813464375,230.19107540940638,228.60661229664478,272.5139686300955,268.76202505681425,0.03628973685545667,0.018844726131987954,0.13267634076507484,0.48824123611801973,-0.12621662538436684,-0.13809631357493846,0.0639285242005414,-0.2331746359576794,-0.24313940354190677,0.010323645317191321,-0.009677230929394653,8.079862726482379,0.248284652183774,0.0139990821067162,0.259192205494058,0.0249066354170004,1.56341570151254,0.0985551134602281,1.8247422956551103,0.15683379757990398,0.15088596428656303,0.9235566734647339,0.0998520564092775,0.8786855005342801,1.65450719460504,0.24242693550241395,0,0,0,0
