Name,Symbol,Accession,Description,Entrez,Gene Symbol,Ensembl,MitoCarta2_List,Matrix,IMS,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,Chromosome,Modifications,Acetyl (K) Count,Acetyl (K) Positions,S3KO_126_Proteins,S3KO_127C_Proteins,S3KO_129N_Proteins,S3FL_127N_Proteins,S3FL_130N_Proteins,DFC_128N_Proteins,DFC_129C_Proteins,DKO_128C_Proteins,DKO_130C_Proteins,DKO_131_Proteins,S3KO_126_Proteins_norm,S3KO_127C_Proteins_norm,S3KO_129N_Proteins_norm,S3FL_127N_Proteins_norm,S3FL_130N_Proteins_norm,DFC_128N_Proteins_norm,DFC_129C_Proteins_norm,DKO_128C_Proteins_norm,DKO_130C_Proteins_norm,DKO_131_Proteins_norm,S3KO_126_Proteins_norm_log2,S3KO_127C_Proteins_norm_log2,S3KO_129N_Proteins_norm_log2,S3FL_127N_Proteins_norm_log2,S3FL_130N_Proteins_norm_log2,DFC_128N_Proteins_norm_log2,DFC_129C_Proteins_norm_log2,DKO_128C_Proteins_norm_log2,DKO_130C_Proteins_norm_log2,DKO_131_Proteins_norm_log2,A,DKOvsDFC_Log2FC,S3KOvsS3FL_Log2FC,DKOvsS3KO_Log2FC,DFCvsS3FL_Log2FC,DKOvsDFC_t,S3KOvsS3FL_t,DKOvsS3KO_t,DFCvsS3FL_t,DKOvsDFC_p_value,S3KOvsS3FL_p_value,DKOvsS3KO_p_value,DFCvsS3FL_p_value,F,F.p.value,DKOvsDFC_significant,S3KOvsS3FL_significant,DKOvsS3KO_significant,DFCvsS3FL_significant
Myosin-6,Myh6,Q02566,Myosin-6 OS=Mus musculus GN=Myh6 PE=1 SV=2,17888,Myh6,ENSMUSG00000040752.15,False,False,False,83,310,13082,99,106,14,Phospho [T68; T70; T256; S393; Y411; S644; S645; S740; S881; S950; T1021; T1023; S1039; S1090; S1142; T1159; S1160; S1201; S1301; S1309; Y1310; T1311; S1337; S1338; S1368; S1414; S1415; S1465; S1467; S1471; S1478; S1480; T1481; S1493; S1598; T1601; S1602; S1639; S1648; S1720; T1723; S1724; S1896; S1917]; Acetyl [K43(100); K451(100); K566(100); K912(100); K970(100); K1108(100); K1264(100); K1281(100); K1376(100); K1446(100); K1459(100); K1530(100); K1643(100); K1670; K1729(100); K1808(100); K1860(100)],17,Acetyl [K43(100); K451(100); K566(100); K912(100); K970(100); K1108(100); K1264(100); K1281(100); K1376(100); K1446(100); K1459(100); K1530(100); K1643(100); K1670; K1729(100); K1808(100); K1860(100)],88702.0,96631.3,80531.3,93479.0,89765.8,127543.8,74673.0,78406.1,90041.4,94532.7,83171.02036675888,91485.8296455543,87677.49513803287,89753.08857977981,88670.93059888022,115126.48585762031,89900.70250341829,86171.06906513599,89830.66621749027,89673.20885808094,-0.12680182013164298,0.010665548194122465,-0.05067616919642859,-0.016921165914279612,-0.03442153501809031,0.34226511951774086,-0.014550362356612112,-0.07567916915435191,-0.01567471820193589,-0.01820572773851481,16.4705951312191,-0.200377250278827,-0.0299327965784641,0.0190842753463869,0.189528729046749,-2.03681949994268,-0.304264599269609,0.216887644397946,1.758687022121,0.0754536948125924,0.7685622320053319,0.833635099546634,0.11604570193209199,1.9601192239538703,0.197436039163947,0,0,0,0
"Trifunctional enzyme subunit alpha, mitochondrial",Hadha,Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1",97212,Hadha,ENSMUSG00000025745.11,True,True,False,85,76,1688,75,75,5,Acetyl [K60(100); K129(100); K214(100); K259(100); K289(100); K326(100); K350(100); K386(100); K406(99.6); K411(100); K516(100); K540(100); K569(100); K644(100); K728(100)]; Phospho [S231],15,Acetyl [K60(100); K129(100); K214(100); K259(100); K289(100); K326(100); K350(100); K386(100); K406(99.6); K411(100); K516(100); K540(100); K569(100); K644(100); K728(100)],25271.4,24032.2,21507.2,25676.6,25303.2,29650.9,17585.2,23070.8,26342.3,27406.7,23695.611419094388,22752.521752350327,23415.708220688113,24653.175089887292,24994.57801445078,26764.16979512696,21171.26449537465,25355.6228429668,26280.648220718405,25997.84765706223,-0.0452421879401097,-0.10383562153173997,-0.062385401541842356,0.01191138837436334,0.03175309476000443,0.13044082668119827,-0.20775463561094476,0.052443638298433015,0.10413878531443821,0.08853011319621018,14.5775744548756,0.120361083401239,-0.0923199785717532,0.152191915940929,-0.0604891460320633,1.3338436217746399,-1.02309160985034,1.88566881590239,-0.611935513953115,0.218380244120531,0.335714923444556,0.0954431059101034,0.557287836241466,1.32616512098709,0.331025537722058,0,0,0,0
"Isocitrate dehydrogenase [NADP], mitochondrial",Idh2,P54071,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3",269951,Idh2,ENSMUSG00000030541.16,True,True,False,76,50,1063,23,47,7,Acetyl [K48(99.7); K69(100); K106(100); K133(100); K155(100); K166(100); K180(100); K193(100); K243(100); K256(100); K275(100); K384(100); K400(100)]; Phospho [T165; S300; S301; S423],13,Acetyl [K48(99.7); K69(100); K106(100); K133(100); K155(100); K166(100); K180(100); K193(100); K243(100); K256(100); K275(100); K384(100); K400(100)],24119.6,23465.3,19988.3,25394.4,26436.2,25942.6,16313.9,22881.3,23235.2,24909.5,22615.63147209846,22215.808318648567,21762.023909554948,24382.223094281715,26113.7588647137,23416.89970041586,19640.714455968227,25147.355659828714,23180.820108268308,23629.01721891332,-0.03334520948012276,-0.059078854310772755,-0.08885275263637737,0.0751641835005632,0.17414464805597873,0.016884592849576663,-0.23681807836890378,0.11974121428819728,0.002266119140776013,0.029894136961088336,14.4983778683925,0.160600566223021,-0.18508002125402698,0.111059428939113,-0.23462115853793497,1.96731702692132,-2.2671842678959,1.52102979412639,-2.62363750520031,0.0840863781054905,0.0525848285611208,0.166114069919895,0.0300429803434731,3.0806551914729,0.0891808709724973,0,0,0,0
"NAD(P) transhydrogenase, mitochondrial",Nnt,Q61941,"NAD(P) transhydrogenase, mitochondrial OS=Mus musculus GN=Nnt PE=1 SV=2",18115,Nnt,,True,True,False,52,68,1155,21,68,13,Acetyl [K70(100); K100(100); K224(100); K394(100); K397(100); K403(100); K430(100); K451(100); K1079(100)],9,Acetyl [K70(100); K100(100); K224(100); K394(100); K397(100); K403(100); K430(100); K451(100); K1079(100)],24328.1,21434.6,19282.8,23486.5,23914.7,22393.7,15814.3,20302.7,21549.8,22218.6,22811.130533522883,20293.24001768162,20993.91917487561,22550.368691674048,23623.01348612769,20213.510859405098,19039.233452517077,22313.383319776607,21499.364635086436,21076.44400650946,0.09211966640580371,-0.07661905875869301,-0.02764676671407429,0.07553273843785213,0.14257473200872894,-0.08229835948322695,-0.16864288806573846,0.060290999371414244,0.0066757420069691875,-0.02198680520906393,14.3853306624105,0.140463935830926,-0.11310245491227301,0.0190420317454283,-0.23452435899777102,2.10598133711395,-1.6957495731411498,0.31919639389298404,-3.20986686426086,0.0677196242462681,0.127738861522572,0.7576180318308992,0.012151425750966002,3.4964255580800803,0.0686324209501698,0,0,0,0
"Electron transfer flavoprotein subunit alpha, mitochondrial",Etfa,Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2",110842,Etfa,ENSMUSG00000032314.14,True,True,False,82,33,567,33,33,9,Acetyl [K59(100); K62(100); K75(100); K126(100); K139(100); K158(100); K203(100); K226(100); K331(100)]; Phospho [S104; Y105; T106; S140],9,Acetyl [K59(100); K62(100); K75(100); K126(100); K139(100); K158(100); K203(100); K226(100); K331(100)],10787.8,10457.4,9863.4,10619.8,10473.2,11142.0,8714.4,9719.2,10291.3,10706.2,10115.130814553464,9900.559290161878,10738.659447251855,10196.513121658827,10345.458853463038,10057.2454750886,10491.485301190367,10681.743569159413,10267.214139763017,10155.843519505803,-0.02497907268697297,-0.055912118893923335,0.06131985633011716,-0.013418169046516937,0.007503584208672365,-0.033258823193722975,0.027724887237214446,0.05365310531237988,-0.0034492701504209577,-0.019183979116833783,13.3292064299959,0.0131069199933016,-0.00356648599799847,0.0168637304319681,0.000190324440668022,0.2314947526117,-0.0629913659518552,0.33300377789062896,0.0030686294013813,0.8226457320382451,0.951293279110568,0.747549252527935,0.997625490549658,0.0416992094112511,0.9878201497818759,0,0,0,0
"ATP synthase subunit O, mitochondrial",Atp5o,Q9DB20,"ATP synthase subunit O, mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1",28080,Atp5o; LOC100047429; LOC102641678,ENSMUSG00000022956.10,True,True,False,80,22,456,9,22,16; 3,Acetyl [K54(100); K70(100); K84(100); K97(100); K100(100); K162(100); K172(100); K192(100)]; Phospho [S166],8,Acetyl [K54(100); K70(100); K84(100); K97(100); K100(100); K162(100); K172(100); K192(100)],8037.8,7793.3,6265.2,7956.2,7641.1,7909.7,5209.6,6542.2,7304.5,8033.3,7536.606023583849,7378.318579763475,6821.161989671141,7639.079615298025,7547.901849023834,7139.633327437471,6271.968445914961,7190.108525203175,7287.404476003902,7620.345009923779,0.05964074867456226,0.02901785379075328,-0.08425670473910074,0.07912459844754238,0.06180143360094448,-0.018424245843823073,-0.20535592770786693,-0.008260682616402448,0.011130838428464074,0.07558208796492494,12.8200585136859,0.138040834701513,-0.0689957167821706,0.0246834486835947,-0.18235310280008898,1.89398640934273,-0.946654301032406,0.37864316860932107,-2.28397747217211,0.0942223012083937,0.37107483537570296,0.714641256076988,0.0512150940660973,1.93621426808069,0.201132936241973,0,0,0,0
"ATP synthase subunit alpha, mitochondrial",Atp5a1,Q03265,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1",11946,Atp5a1,ENSMUSG00000025428.15,True,True,False,77,61,2278,0,1,18,Acetyl [K167(100); K230(100); K239(100); K261(100); K427(100); K498(100); K531(100); K539(100)]; Phospho [S502],8,Acetyl [K167(100); K230(100); K239(100); K261(100); K427(100); K498(100); K531(100); K539(100)],870.8,736.7,470.6,721.5,654.2,556.9,309.0,496.2,617.8,776.2,816.5015956277607,697.4718409033082,512.3601532814977,692.7422566599037,646.2207521994728,502.68174520524514,372.0128704291544,545.3412995942979,616.3540947737984,736.2991294614712,0.4445253670963041,0.21720463401004153,-0.22777205771674858,0.2073883415843074,0.10709674282008486,-0.25528503926347845,-0.68957780331524,-0.13777092077923747,0.038829077818437696,0.2953616577455147,9.228786527818741,0.537904692884267,-0.0125898944056573,-0.07917937620162799,-0.629673963491552,2.5141085637234903,-0.0588438096197231,-0.413757402287056,-2.68660492807847,0.0356714532527049,0.9544959884447279,0.6897421968929571,0.0272254675237199,3.46773457796499,0.0698489151106626,0,0,0,0
"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",Sucla2,Q9Z2I9,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Sucla2 PE=1 SV=2",20916,Sucla2,ENSMUSG00000022110.13,True,True,False,70,42,598,41,42,14,Acetyl [K88(100); K98(100); K116(100); K139(100); K368(100); K438(100)]; Phospho [S279],6,Acetyl [K88(100); K98(100); K116(100); K139(100); K368(100); K438(100)],14164.5,12940.7,11133.9,13115.4,12268.1,12703.4,9535.3,11037.9,12164.8,13356.4,13281.277964250594,12251.627326696676,12121.901212539027,12592.642817737074,12118.46653937382,11466.631858574809,11479.787454379017,12131.041376041718,12136.329381845748,12669.808931640291,0.12082002067324638,0.00439943531167053,-0.010957962658071807,0.04400714009894102,-0.011366800182848635,-0.09113226834874233,-0.08947802202409427,-0.009870550758721564,-0.009241806924332963,0.052820814812951866,13.576286332668,0.10154129756305401,0.021766994484242002,-0.0268510120656522,-0.106625315144464,1.7357471660843402,0.37208505206204295,-0.513167829097482,-1.66384727900885,0.120187160916548,0.71933313813391,0.621472623970345,0.134074543185816,1.75106910620457,0.232782605624918,0,0,0,0
"Isoform Cytoplasmic of Fumarate hydratase, mitochondrial",Fh,P97807-2,"Isoform Cytoplasmic of Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh",14194,Fh1,,True,True,False,87,42,691,1,42,1,Acetyl [K18(100); K23(100); K37(100); K249(100); K427(100); K430(100)]; Phospho [S322; S323],6,Acetyl [K18(100); K23(100); K37(100); K249(100); K427(100); K430(100)],10596.2,10043.6,8900.9,10531.8,10208.2,10243.9,7755.4,8909.3,9892.3,10570.8,9935.477960026274,9508.79351336564,9690.749019003999,10112.02064960606,10083.691046473034,9246.582024973983,9336.921085198266,9791.634906238367,9869.147963306646,10027.403810501572,0.02632639505203116,-0.03700067505457305,-0.009654797971833773,0.05173643267429284,0.04768893928827467,-0.0773428012548969,-0.06331608733753491,0.005286789334663311,0.016662560399426596,0.03961324487015716,13.2520472616118,0.0908503091643045,-0.0564890453060691,0.0272972241928731,-0.12004213027750099,1.9298996127258403,-1.1999759567386101,0.648308629669197,-2.32783063978917,0.0891202129519278,0.263917264290969,0.534648093645413,0.0478033322766387,2.03516461287656,0.18635265746875604,0,0,0,0
"2,4-dienoyl-CoA reductase, mitochondrial",Decr1,Q9CQ62,"2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Decr1 PE=1 SV=1",67460,Decr1,ENSMUSG00000028223.8,True,True,False,80,29,407,29,29,4,Acetyl [K42(100); K97(100); K106(100); K185(100); K244(100); K260(100)],6,Acetyl [K42(100); K97(100); K106(100); K185(100); K244(100); K260(100)],8096.4,7894.5,7187.2,8206.8,8017.4,8413.0,5950.7,7769.5,8969.2,9314.7,7591.552042765964,7474.129833054387,7824.9785245745425,7879.691132302836,7919.612134949638,7593.933421461174,7164.197372371422,8538.954508661624,8948.208395670368,8835.874131918019,-0.06786910835933213,-0.09035834866293335,-0.024177181028004924,-0.014124893534667393,-0.006834197971526734,-0.0674166232187936,-0.15145888977943045,0.10179546651731108,0.16933488220512416,0.15110889383224446,12.9580482583063,0.250184170684006,-0.0503220002636571,0.201547960201651,-0.0989582107460123,4.7430342193840405,-0.954013071993433,4.27198622348647,-1.7126067091882,0.00139169130046313,0.367554311663421,0.0026128432990268897,0.124504012884761,9.45374288723374,0.0050046352225015705,0,0,0,0
